,Close,High,Low,Open,Volume
2023-03-16,1287.7386474609375,1300.3033608672233,1282.7861367735707,1300.3033608672233,7323117
2023-03-17,1302.962890625,1323.3231866747517,1294.4336727271848,1311.4922204768466,9090018
2023-03-20,1287.3258056640625,1302.0456322126888,1270.0837669911443,1302.0456322126888,8221829
2023-03-21,1275.4490966796875,1288.5640639628448,1274.8071522479388,1283.0612992768824,8536755
2023-03-22,1274.1192626953125,1290.6275561835369,1267.60768043243,1286.7297646654838,8356487
2023-03-23,1260.6373291015625,1269.258235844495,1256.4643552568782,1269.258235844495,7607718
2023-03-24,1266.2320556640625,1283.0154210841881,1263.3430817614233,1272.9729201341963,7559127
2023-03-27,1273.843994140625,1280.0805049322928,1260.2246753182865,1271.3677950652989,4170193
2023-03-28,1263.4346923828125,1282.1441138599873,1261.8297194219722,1276.7330397726337,6633366
2023-03-29,1268.8914794921875,1274.7152152672716,1251.466061358039,1264.718505631089,8813966
2023-03-31,1309.6121826171875,1311.4464376364792,1278.384058086171,1287.6470235427857,8711975
2023-04-03,1293.92919921875,1316.077848821429,1288.7016177019077,1316.077848821429,5242764
2023-04-05,1305.57666015625,1309.1992683413307,1283.97826667451,1283.97826667451,7506334
2023-04-06,1304.0633544921875,1310.0246820529576,1293.4704891987503,1298.6522809308385,6948465
2023-04-10,1309.291015625,1315.160653204444,1297.7352331131717,1305.9434783219242,4993788
2023-04-11,1289.6187744140625,1314.564596044306,1273.8900163996034,1310.4834237107443,6942255
2023-04-12,1309.9332275390625,1312.867990700333,1283.9784750125505,1295.9470334362472,5831169
2023-04-13,1274.0732421875,1294.1125639133095,1268.3870975225138,1292.920253602577,11267238
2023-04-17,1154.0213623046875,1156.6351528002706,1087.0710673200379,1146.6843436762329,53171705
2023-04-18,1154.9842529296875,1164.7057800036057,1149.2522072547338,1164.7057800036057,12430884
2023-04-19,1130.0843505859375,1150.3987451220048,1127.5164610086156,1150.3987451220048,11307230
2023-04-20,1122.013671875,1135.2661178854821,1120.1794170940875,1128.7086346529145,8621249
2023-04-21,1125.63623046875,1131.047304223771,1118.8953668380302,1126.3240759811504,8691352
2023-04-24,1124.6734619140625,1128.0667887734735,1117.0612591269032,1126.2325338323785,8313774
2023-04-25,1123.3895263671875,1133.111055729297,1114.3099414901628,1124.3524430948148,6808576
2023-04-26,1125.81982421875,1130.8181239428047,1119.3999321931217,1126.2324867816417,5680192
2023-04-27,1142.969970703125,1144.3915628906238,1123.8478876663187,1128.0666511252507,8020704
2023-04-28,1148.931396484375,1154.6634429645405,1141.7777576955154,1151.6368776414001,10118277
2023-05-02,1171.5843505859375,1173.6937883843755,1150.5822227207543,1150.5822227207543,8886401
2023-05-03,1163.9720458984375,1167.0443997269565,1157.506254147817,1161.0830727342452,5549783
2023-05-04,1168.007568359375,1170.0711048738817,1157.8732664731895,1163.788693033167,4505401
2023-05-05,1154.755126953125,1173.0059852361912,1150.307081299838,1173.0059852361912,5373791
2023-05-08,1160.7164306640625,1165.0269966744686,1151.1782831849423,1157.8274569243922,5260842
2023-05-09,1165.3936767578125,1166.5859870922673,1156.2224032743827,1161.0832230022093,4969897
2023-05-10,1158.5611572265625,1170.621404606506,1154.800957377408,1170.621404606506,6515734
2023-05-11,1152.003662109375,1170.1628287388498,1149.2064908153254,1164.9810367298412,6888461
2023-05-12,1142.0069580078125,1151.9119783998672,1136.3667142373067,1149.4815684750179,8292212
2023-05-15,1154.0672607421875,1163.7429997559711,1142.419787348579,1146.3175788639087,5534710
2023-05-16,1159.524169921875,1168.3743594123644,1158.1025777274938,1160.1661142944206,5236469
2023-05-17,1143.5660400390625,1156.4516112883057,1139.4847564270556,1156.1306391276796,10465667
2023-05-18,1142.7408447265625,1155.2596572702737,1139.4849973777084,1154.2966286307426,6948732
2023-05-19,1163.7430419921875,1167.778425157087,1148.9773124596102,1151.9579766677468,11094136
2023-05-22,1185.662353515625,1188.2302430762331,1164.9810857591126,1167.4572849700612,7625947
2023-05-23,1192.3116455078125,1205.2431208057392,1189.5602630208477,1191.5319975732739,7436031
2023-05-24,1191.027587890625,1196.8513248198226,1184.2867235094584,1188.8723607693044,4824077
2023-05-25,1196.255126953125,1198.6855370050355,1182.4065253127328,1187.2214442639772,4334121
2023-05-26,1208.26953125,1213.7722960275548,1197.768466581114,1197.768466581114,5521606
2023-05-29,1205.47216796875,1222.2555306990143,1201.299193894401,1222.2555306990143,4419365
2023-05-30,1214.1390380859375,1216.4777576450638,1200.6573106206852,1206.0224833077132,6274719
2023-05-31,1209.0491943359375,1220.7883588363477,1205.2430929262039,1210.4706747488972,17800782
2023-06-01,1210.149658203125,1219.3209326116369,1208.8656573951266,1212.9469416793345,4277841
2023-06-02,1207.361328125,1220.28076764581,1204.619482886525,1216.6558726063317,10909311
2023-06-05,1212.47314453125,1217.0738979713722,1205.7811188985672,1212.0084173773478,5002553
2023-06-06,1188.7723388671875,1197.6950796258761,1183.1956117106565,1197.6950796258761,10008100
2023-06-07,1198.0201416015625,1202.7139314625765,1192.0252064148026,1199.4608412306454,5397578
2023-06-08,1192.30419921875,1200.8551346703464,1190.7240585978548,1195.4642535429527,5034942
2023-06-09,1176.6427001953125,1192.0252152176977,1174.83030957908,1192.0252152176977,5339073
2023-06-12,1200.80859375,1204.2940478285252,1183.1954778567024,1183.6602050671725,4785588
2023-06-13,1212.798583984375,1214.332206477655,1205.5489075433659,1208.1978299633267,4846587
2023-06-14,1208.6627197265625,1214.5182153173187,1201.9705788900887,1214.1929289165223,3457981
2023-06-15,1196.0218505859375,1202.6673581303833,1192.1645925106025,1202.6673581303833,6161155
2023-06-16,1200.52978515625,1209.6848882031022,1190.677591317118,1196.2077995523568,8536287
2023-06-19,1202.7139892578125,1207.8259884393565,1196.2543265846496,1202.7139892578125,4451787
2023-06-20,1211.4510498046875,1212.938154351979,1200.0187137709518,1202.7141545834947,4009180
2023-06-21,1207.6866455078125,1211.822785983513,1203.6435412463507,1208.244295499256,4041529
2023-06-22,1191.142333984375,1198.4385283465883,1183.6601806665321,1198.4385283465883,6676607
2023-06-23,1175.7598876953125,1189.0975364568558,1174.2262651500378,1186.402095840736,7239467
2023-06-26,1180.7322998046875,1184.1248308422635,1173.2037423317481,1180.6393770623117,3403244
2023-06-27,1188.91162109375,1191.5605434478787,1184.3107537282526,1189.7016346437479,3240024
2023-06-28,1202.10986328125,1205.2235129272265,1191.0029282361302,1198.9962136352735,5662358
2023-06-30,1241.286376953125,1244.446544670447,1212.4267718508554,1215.9122259231685,12821692
2023-07-03,1239.6134033203125,1251.0457388883244,1234.733767265956,1236.1744671036192,7732412
2023-07-04,1250.2554931640625,1251.0455066392037,1237.4754963466114,1249.4654796889213,5797775
2023-07-05,1252.2540283203125,1262.152627465157,1246.3984198903297,1262.059704711734,5414936
2023-07-06,1249.0938720703125,1252.3933673295787,1242.8200544623764,1247.8391312404847,5963897
2023-07-07,1236.360107421875,1250.8596857725443,1231.8522766020494,1239.89207926807,6295647
2023-07-10,1235.38427734375,1247.2348203575655,1226.229174648363,1242.26226225529,3940315
2023-07-11,1253.462158203125,1255.5999486675075,1233.3859662223854,1239.38090160913,6126128
