company_code,date,open,high,low,close,volume,date_diff,daily_return
INFY.NS,2022-10-11,1326.9348942612842,1342.3575126771138,1288.3329432818086,1291.689697265625,12824774,1.0,-0.026561392188644062
INFY.NS,2022-10-12,1303.664798259727,1307.3843486042717,1282.3907023211864,1296.1348876953125,5481467,1.0,0.003441376391789319
INFY.NS,2022-10-13,1298.2216523105023,1304.5267376311374,1283.7062459953604,1288.151611328125,4821514,1.0,-0.006159294409074034
INFY.NS,2022-10-14,1347.2110338811046,1355.37594923796,1331.1080063717516,1337.45849609375,14990688,1.0,0.03827723719165954
INFY.NS,2022-10-17,1339.8627206241326,1356.2832515544005,1338.5926004471692,1351.7017822265625,4286396,3.0,0.010649516358385736
INFY.NS,2022-10-18,1369.8913885102745,1370.753196410842,1358.3244247993434,1364.1759033203125,4692004,1.0,0.0092284564966707
INFY.NS,2022-10-19,1364.448228692281,1365.310036666888,1343.8545397508806,1347.619384765625,3553171,1.0,-0.012136644925621387
INFY.NS,2022-10-20,1338.138908026621,1364.448079777653,1337.4130934739194,1361.6357421875,4583939,1.0,0.010400827993664263
INFY.NS,2022-10-21,1361.0915509372185,1366.2626201422443,1352.9719290790936,1361.27294921875,3594485,1.0,-0.00026643907581858084
INFY.NS,2022-10-24,1377.602772050084,1380.5966188815135,1370.7986753820724,1377.0130615234375,982837,3.0,0.011562789309609744
INFY.NS,2022-10-25,1386.3118716885508,1390.6665374705215,1379.9160878294856,1384.678955078125,3914341,1.0,0.005567044909658536
INFY.NS,2022-10-27,1403.9385396052235,1407.698739208656,1387.1550649469032,1397.6561279296875,6760137,2.0,0.009371972329015765
INFY.NS,2022-10-28,1399.5362686568128,1401.3246221215236,1382.1108498465378,1387.8428955078125,3053981,1.0,-0.007021206594222229
INFY.NS,2022-10-31,1403.4341822194212,1418.245811891941,1403.4341822194212,1410.220947265625,4542336,3.0,0.016124340752289745
INFY.NS,2022-11-01,1424.3447111160303,1444.4756121674845,1418.887736075427,1442.641357421875,4542692,1.0,0.022989596218317532
INFY.NS,2022-11-02,1441.7242114783025,1442.4120569990462,1416.9617727315378,1424.573974609375,2938906,1.0,-0.012523821474789809
INFY.NS,2022-11-03,1411.2298417515794,1415.9530704364693,1395.546984991158,1403.892822265625,3174027,1.0,-0.014517429570072626
INFY.NS,2022-11-04,1394.4463107382567,1394.4463107382567,1376.7458190882635,1388.5308837890625,4509682,1.0,-0.01094238693504479
INFY.NS,2022-11-07,1395.3176762956068,1401.2790045132888,1367.528670745416,1382.523681640625,4898592,3.0,-0.004326300710031705
INFY.NS,2022-11-09,1402.2878032270442,1402.2878032270442,1376.6999262188187,1385.962890625,3334755,2.0,0.002487631156012915
INFY.NS,2022-11-10,1361.9341064114733,1386.6965447098637,1361.9341064114733,1377.4793701171875,3435763,1.0,-0.006121030054409893
INFY.NS,2022-11-11,1418.4750969869554,1443.0999449630117,1418.4750969869554,1439.981689453125,7214098,1.0,0.04537441408695675
INFY.NS,2022-11-14,1444.613253594111,1459.516573917289,1438.468432811522,1453.922119140625,4908813,3.0,0.00968097704964177
INFY.NS,2022-11-15,1447.0893718318237,1465.4319188955194,1442.4120447213857,1461.9010009765625,3497614,1.0,0.005487833035137779
INFY.NS,2022-11-16,1464.7901313371106,1475.658069244969,1461.4425937488243,1469.971923828125,4497697,1.0,0.005520840909316815
INFY.NS,2022-11-17,1464.8358035943602,1469.9718064752024,1451.7667384557692,1455.8480224609375,3469515,1.0,-0.009608279680883847
INFY.NS,2022-11-18,1459.7915243765399,1465.5694713292203,1444.9341064325322,1461.3507080078125,3126064,1.0,0.0037797115234414758
INFY.NS,2022-11-21,1450.9872289206992,1456.2607114407933,1434.4331466169938,1438.2391357421875,3071764,3.0,-0.01581521269259989
INFY.NS,2022-11-22,1438.9730519618045,1456.3984745158352,1432.5531594418983,1453.6929931640625,3399329,1.0,0.010744984639776245
INFY.NS,2022-11-23,1457.2236776068496,1460.0667500182162,1448.419277384479,1451.9501953125,3245067,1.0,-0.0011988761449343022
INFY.NS,2022-11-24,1457.315291923901,1500.4202753854638,1453.4175008662064,1494.734130859375,5282215,1.0,0.029466531073172764
INFY.NS,2022-11-25,1496.201695768672,1507.7574788728768,1480.0602755632722,1500.0994873046875,4563255,1.0,0.003589505541181204
INFY.NS,2022-11-28,1493.0833876173003,1516.4701360105687,1485.7463685135297,1488.8646240234375,3825766,3.0,-0.0074894121198829655
INFY.NS,2022-11-29,1486.8469687838856,1502.9426002223424,1481.2067245613812,1494.0465087890625,3131710,1.0,0.0034804270865282927
INFY.NS,2022-11-30,1485.7006074148594,1509.3625410366662,1479.4642077611848,1499.45751953125,11868134,1.0,0.0036217150606463466
INFY.NS,2022-12-01,1518.946413503393,1533.9873258325365,1515.3697060690874,1519.7718505859375,5407928,1.0,0.013547786976344733
INFY.NS,2022-12-02,1518.7629471181933,1524.0823307242517,1498.540243529846,1502.1629638671875,4283343,1.0,-0.011586533012807876
INFY.NS,2022-12-05,1502.254768168023,1508.5370688309101,1488.7730393891545,1503.8597412109375,3824966,3.0,0.0011295561031419155
INFY.NS,2022-12-06,1490.3319598752034,1491.2490872351268,1474.328132226153,1479.2347412109375,4822398,1.0,-0.016374532361755678
INFY.NS,2022-12-07,1474.7408164804579,1489.2314737623112,1464.3772323790536,1472.447998046875,4898087,1.0,-0.00458800958021488
INFY.NS,2022-12-08,1472.4479729502166,1489.3231387245678,1466.0280814456066,1485.8839111328125,4206837,1.0,0.009124881220769376
INFY.NS,2022-12-09,1493.083379473675,1493.083379473675,1431.7275351622377,1439.248046875,8880658,1.0,-0.03138594065687006
INFY.NS,2022-12-12,1421.5473714407533,1436.1755076749384,1403.2507258609144,1418.9793701171875,8037679,3.0,-0.014082823875857464
INFY.NS,2022-12-13,1418.9794213639211,1446.7684254424607,1413.4308679506453,1441.86181640625,6135067,1.0,0.016125989405450403
INFY.NS,2022-12-14,1450.895617363601,1456.8569457535275,1442.6414703621647,1448.5111083984375,4976020,1.0,0.004611601414593602
INFY.NS,2022-12-15,1439.2480298964012,1439.8899742752963,1408.0197980930882,1412.834716796875,6443866,1.0,-0.0246296983120885
INFY.NS,2022-12-16,1398.6191487123112,1421.0887678227714,1386.7423948212465,1396.0511474609375,9630453,1.0,-0.011879357957729542
INFY.NS,2022-12-19,1382.9822609021824,1391.1906185589476,1371.151406638808,1382.4320068359375,6222740,3.0,-0.009755473966530315
INFY.NS,2022-12-20,1376.6084043945634,1390.36531716333,1359.5956441555718,1382.3863525390625,7396259,1.0,-3.302462374221715e-05
INFY.NS,2022-12-21,1389.447884052655,1394.9506479498932,1377.8462011118406,1384.4495849609375,6236361,1.0,0.0014925150397249176
INFY.NS,2022-12-22,1395.4093535025568,1403.159035330933,1386.467361260263,1395.913818359375,6302640,1.0,0.008280715688727014
INFY.NS,2022-12-23,1383.6700272399569,1384.7706472634532,1369.2711722199242,1373.0313720703125,6283822,1.0,-0.01639244915273952
INFY.NS,2022-12-26,1376.1496474837907,1384.7706673330085,1372.3435464278352,1377.8922119140625,4115459,3.0,0.003540224894075461
INFY.NS,2022-12-27,1384.8164781367202,1395.363443276997,1373.3982867447278,1389.3104248046875,4860076,1.0,0.008286724311159066
